"home_team_api_id";"away_team_api_id";"home_player_1";"home_player_2";"home_player_3";"home_player_4";"home_player_5";"home_player_6";"home_player_7";"home_player_8";"home_player_9";"home_player_10";"home_player_11";"away_player_1";"away_player_2";"away_player_3";"away_player_4";"away_player_5";"away_player_6";"away_player_7";"away_player_8";"away_player_9";"away_player_10";"away_player_11";"home_player_1_pos";"home_player_2_pos";"home_player_3_pos";"home_player_4_pos";"home_player_5_pos";"home_player_6_pos";"home_player_7_pos";"home_player_8_pos";"home_player_9_pos";"home_player_10_pos";"home_player_11_pos";"away_player_1_pos";"away_player_2_pos";"away_player_3_pos";"away_player_4_pos";"away_player_5_pos";"away_player_6_pos";"away_player_7_pos";"away_player_8_pos";"away_player_9_pos";"away_player_10_pos";"away_player_11_pos";"league";"season";"date"
8576;9941;31047;40721;33420;40021;46221;143757;37567;148830;46230;143752;38728;190741;26399;26402;192770;94549;184576;94550;39105;46653;145070;33080;"A";"ZC";"ZC";"ZI";"ZC";"ZD";"MC";"MC";"DC";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";8/6/11 12:00 AM
9827;9853;26168;40543;179393;40001;41092;30907;26238;41093;41238;26144;71605;41097;210922;33122;39996;30904;161421;35499;150565;46417;38700;37273;"A";"ZD";"ZC";"ZC";"ZI";"MD";"MC";"MC";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MD";"MC";"MC";"MI";"DC";"DC";"F1";"2011";8/7/11 12:00 AM
8521;4087;11320;159352;39965;167557;145066;93471;40728;33344;37560;134232;93361;26410;210691;93343;46708;34045;210694;26333;160370;35408;211139;46261;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";8/6/11 12:00 AM
7819;9873;26275;40679;26176;179791;46342;26420;26191;179845;11324;191583;35407;41301;41216;210185;89475;26222;26051;5202;111787;56972;40758;41240;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";8/6/11 12:00 AM
9836;9851;;208688;210402;37280;184520;210404;103869;279178;210406;104392;93356;11319;41189;25856;103470;159882;166020;109330;38216;46757;40010;26014;"A";"ZD";"ZC";"ZC";"ZI";"MD";"MC";"MC";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";8/7/11 12:00 AM
8592;9874;31293;26307;38703;26336;40740;39978;26112;41232;40964;95955;39987;26359;156716;26345;147351;165583;94325;46650;155623;147958;33446;91560;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";8/6/11 12:00 AM
10249;8583;33109;40044;93985;128456;41360;26371;179511;199834;37241;25543;46469;279866;30977;26136;246331;111917;115429;26251;34417;26288;32776;47552;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"F1";"2011";8/6/11 12:00 AM
8481;8639;26290;111909;17875;26245;11329;192807;26242;46242;41160;26236;25538;30742;26154;30563;26107;183519;26291;39993;25496;32575;107417;26332;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";8/6/11 12:00 AM
9831;9748;50065;26162;94041;157288;115297;33128;26351;41019;32566;40659;26394;26295;32579;30931;114268;93484;182923;39979;26330;20401;26344;30536;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"F1";"2011";8/6/11 12:00 AM
9847;8689;27659;40730;40016;94043;25525;26419;41174;33782;37429;37554;26392;40709;114724;26327;41083;113599;31037;26324;5610;40685;40018;26376;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"F1";"2011";8/6/11 12:00 AM
8576;9847;31047;33420;118850;46246;94013;40721;154233;37567;143752;46230;38728;27659;20482;94043;26357;30457;41174;24132;129391;37429;40730;26392;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MC";"DD";"DC";"DI";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MC";"DD";"DC";"DI";"F1";"2011";10/16/11 12:00 AM
8583;8639;26241;11323;30823;111917;26136;30977;26251;26288;34417;47552;37466;30742;30918;26107;30563;26154;32575;25496;26291;39993;26195;145061;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DD";"DC";"DI";"F1";"2011";10/15/11 12:00 AM
8521;7819;11320;167557;39965;18945;21776;52054;93471;37560;112117;33344;134232;26275;46662;179791;40679;26176;179845;46342;26191;11324;191583;35407;"A";"ZD";"ZC";"ZC";"ZI";"MD";"MC";"MC";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MD";"MD";"MC";"MI";"MI";"DC";"F1";"2011";10/15/11 12:00 AM
4087;9853;95597;35560;93343;210691;34045;210694;32937;35408;74169;279181;148832;41097;33122;26401;210922;281207;94323;35499;5217;46417;150565;97699;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DD";"DC";"DI";"F1";"2011";10/15/11 12:00 AM
9748;8481;26167;30931;93488;32579;93484;182923;154949;182925;20401;26330;26344;26290;145058;17875;26245;11329;41098;131995;41160;26236;210146;39994;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MD";"MC";"MC";"MI";"DC";"DC";"F1";"2011";10/15/11 12:00 AM
10249;9836;46705;26138;199834;128456;26325;26371;49851;41360;179511;25543;46469;279175;185067;210400;184520;210402;93347;210404;210403;210405;93356;210406;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DD";"DC";"DI";"F1";"2011";10/15/11 12:00 AM
9831;9827;50065;40020;157288;115297;26162;40725;41019;32566;103487;210453;26394;26168;40001;179393;157289;41092;30907;154232;31292;41238;40707;71605;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"F1";"2011";10/15/11 12:00 AM
9851;8689;11319;159882;41189;25856;95076;210390;109330;38216;41192;166020;26014;40709;41083;26327;46540;46645;26324;40685;40018;187669;24753;242094;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"F1";"2011";10/16/11 12:00 AM
9941;8592;190741;26399;94549;192770;16493;46653;26326;145070;40103;41365;161420;31293;149962;40740;38703;26307;26112;40964;78185;41232;95955;39987;"A";"ZD";"ZC";"ZC";"ZI";"MD";"MD";"MC";"MI";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/15/11 12:00 AM
9873;9874;41301;172568;210185;26222;41216;35559;26051;102699;202443;111787;40758;26359;147351;42304;26345;41105;94325;292888;155623;109280;173955;33446;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MC";"DD";"DC";"DI";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MC";"DC";"DI";"DD";"F1";"2011";10/16/11 12:00 AM
8583;9851;26241;11323;246331;26136;30977;26251;26311;26288;34417;111917;192921;11319;41189;25856;103470;159882;109330;166020;41192;46757;38216;26014;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/23/11 12:00 AM
9827;8521;26168;179393;26119;40001;41092;30907;26238;93317;41238;31292;40707;11320;39965;167557;32574;21776;52054;35444;39971;93471;14560;134232;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/22/11 12:00 AM
7819;10249;26275;40679;179791;26176;46338;35407;26420;179845;11324;191583;46241;46705;40044;93985;26138;41360;93984;179511;93466;41124;25543;46469;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"F1";"2011";10/22/11 12:00 AM
8639;9748;30742;26107;30563;26154;56916;32575;26291;179410;25496;107417;26332;26295;93488;114268;32579;93484;182923;39979;33744;20401;26330;26344;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/23/11 12:00 AM
8689;9941;40709;114724;41083;26327;113599;31037;26324;5610;40018;242094;177688;190741;26399;94549;192770;16493;46653;94550;26326;39105;145070;33080;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"F1";"2011";10/22/11 12:00 AM
8592;8576;31293;72541;26307;149962;40740;41232;26112;39987;40060;95955;154280;31047;118850;46246;33420;94013;40721;143757;154233;37567;143752;38728;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"F1";"2011";10/22/11 12:00 AM
8481;9831;78904;46232;26245;17875;41160;41098;145058;192807;11329;167254;39994;50065;26162;40020;157288;115297;33128;103487;251243;32566;26394;41177;"A";"ZD";"ZC";"ZI";"ZC";"ZC";"MD";"MC";"MI";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"F1";"2011";10/22/11 12:00 AM
9847;9836;27659;20482;42168;94043;25525;24132;41174;33782;129391;37429;26392;279175;210400;185067;37280;40017;93347;210404;103869;210405;279178;93356;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"F1";"2011";10/23/11 12:00 AM
9853;9873;41097;26401;45237;33122;210922;161421;35499;150565;46349;5217;97699;41301;41216;210185;172568;26222;26051;56972;111787;102699;40758;202443;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/22/11 12:00 AM
9874;4087;26359;41105;26345;156716;42304;94325;46650;134222;147958;155623;91560;95597;210691;93343;46708;34045;26333;32937;74169;21751;279181;148832;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/22/11 12:00 AM
8576;9827;31047;143757;40025;33420;94013;40721;154233;37567;37242;143752;183530;26168;40543;26119;179393;41092;30907;26238;93317;41238;31292;40707;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"F1";"2011";10/29/11 12:00 AM
8521;8689;11320;39965;167557;32574;21776;40728;35444;93471;39971;14560;134232;40709;114724;26327;41083;113599;31037;40018;5610;26324;40685;242094;"A";"ZD";"ZC";"ZC";"ZI";"ZC";"MC";"MC";"DC";"DC";"DC";"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"F1";"2011";10/29/11 12:00 AM
9836;8592;279175;210400;185067;37280;184520;93347;103869;179798;210404;279178;93356;31293;26307;38703;149962;40740;78185;26112;41232;95955;154280;39987;"A";"ZD";"ZC";"ZC";"ZI";"MC";"MC";"MD";"MC";"MI";"DC";"A";"ZD";"ZC";"ZC";"ZI";"ZC";"ZC";"MD";"MI";"DC";"DC";"F1";"2011";10/29/11 12:00 AM
