1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
1342,3
1383,5
2978,4
2979,2
4292,1
4345,3
4734,2
5354,0
5365,3
6661,4
10903,2
10996,1
