209112|880
209112|73968
209112|9273
209112|44735
209112|2882
209112|2975
209112|16940
209112|18686
209112|90633
209112|59233
140607|1315036
140607|236695
140607|1023139
140607|3
140607|4
140607|25072
140607|2
140607|24343
140607|93210
140607|1267329
278927|1414734
278927|17605
278927|2282
278927|1532
278927|1245
278927|4690
278927|1267329
278927|4808
271110|16828
271110|3223
271110|1245
271110|60898
271110|53650
271110|17604
271110|550843
271110|6162
271110|1896
271110|22226
76341|2524
76341|6885
76341|26060
76341|3292
76341|1056053
76341|236048
76341|37153
76341|98522
76341|24898
76341|66055
281957|6193
281957|2524
281957|93491
281957|93210
281957|220448
281957|1126405
281957|7742
281957|526
281957|32205
281957|1099848
293660|54882
293660|51990
293660|1047649
293660|80507
293660|1492326
293660|122750
293660|78452
293660|1493223
293660|1368836
293660|15032
87101|1100
87101|76512
87101|1223786
87101|224181
87101|18999
87101|1030512
87101|136532
87101|24047
87101|25002
87101|55596
157336|10297
157336|1813
157336|83002
157336|3895
157336|1893
157336|851784
157336|1190668
157336|58549
157336|1892
157336|9560
135397|73457
135397|18997
135397|76793
135397|7132
135397|78423
135397|1108907
135397|17181
135397|14592
135397|543505
135397|20750
206647|8784
206647|27319
206647|121529
206647|5469
206647|28782
206647|17064
206647|2038
206647|543530
206647|125660
206647|139549
131634|72129
131634|27972
131634|96066
131634|57755
131634|9281
131634|1231
131634|1233
131634|2954
131634|2283
131634|55636
262500|94185
262500|587020
262500|204
262500|1159982
262500|996701
262500|3489
262500|21045
262500|224181
262500|37153
262500|56614
131631|72129
131631|27972
131631|96066
131631|57755
131631|55636
131631|1233
131631|1231
131631|530025
131631|237455
131631|9281
102899|22226
102899|3392
102899|19034
102899|74541
102899|21127
102899|53650
102899|20750
102899|1360010
102899|454
102899|83854
100402|16828
100402|1245
100402|60898
100402|2231
100402|4135
100402|53650
100402|71189
100402|81685
100402|84247
100402|13014
299687|56734
299687|1108907
299687|1167375
299687|23626
299687|1094091
299687|74537
299687|1379122
299687|1379123
299687|49
299687|17402
241251|16866
241251|932091
241251|1348957
241251|38405
241251|52775
241251|57686
241251|1384708
241251|60851
241251|104195
241251|214142
290595|74568
290595|6885
290595|5081
290595|83002
290595|11109
290595|110080
290595|47632
290595|237020
290595|237455
290595|228866
99861|3223
99861|16828
99861|74568
99861|103
99861|1245
99861|17604
99861|13548
99861|550843
99861|27428
99861|6162
269149|417
269149|23532
269149|446511
269149|17605
269149|6944
269149|18999
269149|21088
269149|213001
269149|5149
269149|27530
1771|16828
1771|1331
1771|2176
1771|39459
1771|60898
1771|55470
1771|2231
1771|2283
1771|13014
1771|58502
286217|1892
286217|83002
286217|41091
286217|8447
286217|454
286217|48
286217|51072
286217|60898
286217|76547
286217|5294
245891|6384
245891|6283
245891|71586
245891|5293
245891|68763
245891|88995
245891|968977
245891|187857
245891|9452
245891|18354
210577|880
210577|10882
210577|80602
210577|41686
210577|1294
210577|11663
210577|21165
210577|83872
210577|149334
210577|1186505
177677|500
177677|17604
177677|11108
177677|933238
177677|10182
177677|16702
177677|16358
177677|41894
177677|2441
177677|92429
291870|29222
291870|380
291870|143240
291870|119592
291870|20212
291870|1059597
291870|115974
291870|111683
291870|168380
291870|1332747
246655|5530
246655|17288
246655|72129
246655|25072
246655|3292
246655|55089
246655|1001657
246655|1253199
246655|1034681
246655|113505
257344|19292
257344|11705
257344|22970
257344|54415
257344|32895
257344|78030
257344|48
257344|13636
257344|1248
257344|570775
118340|73457
118340|8691
118340|543530
118340|12835
118340|51329
118340|72095
118340|543261
118340|12132
118340|1121
118340|938
177572|66580
177572|515510
177572|82093
177572|51990
177572|78324
177572|87822
177572|589162
177572|2505
177572|21088
177572|52792
155|3894
155|1810
155|6383
155|3895
155|1579
155|64
155|192
155|57597
155|2037
155|101015
292431|1327613
292431|1469394
292431|1469393
292431|1497729
292431|14597
292431|8570
292431|1016071
11|2
11|3
11|4
11|5
11|12248
11|6
11|130
11|24343
11|24342
11|15152
122917|7060
122917|1327
122917|30315
122917|25136
122917|95047
122917|67123
122917|34715
122917|1193834
122917|152566
122917|207558
244786|996701
244786|18999
244786|129104
244786|970216
244786|223012
244786|159366
244786|781
244786|1451540
244786|15824
244786|53454
273248|2231
273248|6856
273248|10431
273248|27740
273248|76961
273248|3129
273248|147
